Wall time,Step,Value
1507653888.065299,0,4.596988677978516
1507654016.5791826,1,9.808090209960938
1507654126.4557736,2,15.541777610778809
1507654236.3419847,3,20.31296157836914
1507654346.958584,4,23.162090301513672
1507654456.3097243,5,27.50516700744629
1507654566.0906732,6,30.76468849182129
1507654675.7964942,7,33.07942199707031
1507654785.2546093,8,35.86655044555664
1507654895.8784404,9,38.07499313354492
1507655005.9903915,10,39.988189697265625
1507655116.4885368,11,42.15825271606445
1507655225.74141,12,43.681724548339844
1507655335.5063517,13,45.61263656616211
1507655445.487323,14,46.82609939575195
1507655555.3293352,15,47.95098876953125
1507655665.6417124,16,49.379981994628906
1507655775.810844,17,50.62592315673828
1507655886.0835843,18,51.37879943847656
1507655995.1448157,19,52.76350784301758
1507656105.5119545,20,53.30085754394531
1507656215.122017,21,54.154117584228516
1507656324.181816,22,54.741661071777344
1507656432.8819587,23,55.54473114013672
1507656543.1275554,24,56.507232666015625
1507656652.8360553,25,56.98553466796875
1507656761.6735938,26,57.66164779663086
1507656871.5115573,27,58.045467376708984
1507656980.3520288,28,58.765869140625
1507657089.0748534,29,59.76970672607422
1507657197.8923767,30,60.23915100097656
1507657306.556362,31,59.9350471496582
1507657417.02685,32,61.22527313232422
1507657526.05975,33,61.38470458984375
1507657635.7254226,34,62.0726318359375
1507657744.551866,35,62.075584411621094
1507657854.2195237,36,62.6424560546875
1507657963.766387,37,63.537052154541016
1507658073.4108195,38,63.68762969970703
1507658182.3591142,39,64.24859619140625
1507658290.7924786,40,64.40802764892578
1507658399.510489,41,64.5910873413086
1507658509.753761,42,64.92766571044922
1507658619.4831636,43,65.30558013916016
1507658728.3963451,44,65.11957550048828
1507658837.9333937,45,65.9935073852539
1507658946.7057858,46,65.9935073852539
1507659056.1580524,47,66.6105728149414
1507659165.6435034,48,66.88514709472656
1507659274.870432,49,67.31620788574219
1507659383.702812,50,67.41954803466797
1507659492.6083035,51,67.64688873291016
1507659603.3901951,52,67.83584594726562
1507659713.9460657,53,67.66754913330078
1507659822.991487,54,68.4617691040039
1507659933.4406562,55,67.974609375
1507660043.0053744,56,68.92234802246094
1507660152.3039002,57,68.78358459472656
1507660261.1936944,58,68.80130004882812
1507660376.7898054,59,69.22055053710938
1507660486.724995,60,69.45970153808594
1507660611.8207116,61,69.81104278564453
1507660724.5080595,62,70.01771545410156
1507660833.9800897,63,70.20372009277344
1507660942.8407695,64,70.38086700439453
1507661051.9131527,65,70.33362579345703
1507661161.427345,66,70.33953094482422
1507661270.614891,67,70.72630310058594
1507661379.2558818,68,70.84735870361328
1507661489.4413028,69,70.93002319335938
1507661598.956355,70,71.37289428710938
1507661708.5001767,71,71.55299377441406
1507661817.0007112,72,71.67109680175781
1507661926.6347694,73,71.4585189819336
1507662035.4193332,74,71.95157623291016
1507662144.4800327,75,72.36492156982422
1507662253.025361,76,72.03129577636719
1507662361.5627763,77,72.03129577636719
1507662470.4842668,78,72.1552963256836
1507662580.882938,79,72.55093383789062
1507662690.296013,80,72.65426635742188
1507662799.01887,81,72.82255554199219
1507662908.1264513,82,72.55387878417969
1507663016.94846,83,72.6867446899414
1507663125.7369874,84,73.386474609375
1507663234.5367885,85,73.54591369628906
1507663344.4899564,86,73.24771118164062
1507663454.2258759,87,73.2122802734375
1507663562.9192684,88,73.40419006347656
1507663672.1679118,89,73.75849151611328
