Wall time,Step,Value
1507653799.5364547,0,3.767345666885376
1507653993.9565766,1,4.095069408416748
1507654187.0983427,2,4.044877529144287
1507654378.2929292,3,4.130498886108398
1507654572.1632495,4,5.1638617515563965
1507654766.9332256,5,7.543549060821533
1507654961.4979599,6,9.49808120727539
1507655154.546576,7,11.027458190917969
1507655347.924871,8,12.329495429992676
1507655538.6701276,9,13.200472831726074
1507655730.8641512,10,14.346029281616211
1507655925.322551,11,15.52701473236084
1507656116.7393274,12,16.6607608795166
1507656311.0216212,13,17.655742645263672
1507656509.060625,14,19.049306869506836
1507656702.8768127,15,19.734277725219727
1507656896.5402803,16,20.903453826904297
1507657087.6324704,17,21.939769744873047
1507657282.9998996,18,22.793031692504883
1507657474.5176725,19,23.847063064575195
1507657671.6626701,20,24.29583740234375
1507657864.7832546,21,25.022144317626953
1507658061.2006345,22,25.842927932739258
1507658254.5004098,23,27.035724639892578
1507658447.3589797,24,27.51402473449707
1507658640.2581737,25,28.656627655029297
1507658833.135574,26,29.27664566040039
1507659025.6630845,27,29.778564453125
1507659217.154552,28,30.86507225036621
1507659412.8141694,29,31.42308807373047
1507659606.30669,30,32.028343200683594
1507659803.1389,31,32.677886962890625
1507660006.3631866,32,33.79982376098633
1507660202.1392357,33,33.99173355102539
1507660400.1128058,34,34.52317810058594
1507660593.010816,35,35.273101806640625
1507660786.3297296,36,35.74549865722656
1507660990.0394678,37,36.530853271484375
1507661183.6333797,38,36.94715118408203
1507661376.5746257,39,37.59669494628906
1507661569.6947184,40,37.77679443359375
1507661765.2782426,41,38.15470886230469
1507661958.7855887,42,39.02568817138672
1507662149.3707504,43,39.10245132446289
1507662343.4760532,44,39.949806213378906
1507662542.2009203,45,40.070858001708984
1507662735.9972951,46,40.48715591430664
1507662928.401646,47,41.083553314208984
1507663124.9457994,48,41.73604965209961
1507663314.9960027,49,42.235015869140625
1507663506.5929606,50,42.65721893310547
1507663702.1657302,51,43.18275833129883
1507663894.2415211,52,43.76144027709961
1507664089.915145,53,43.77915573120117
1507664283.6846118,54,43.79982376098633
1507664478.451696,55,44.26335906982422
1507664695.8693151,56,45.29376983642578
1507664895.8576016,57,45.48272705078125
1507665088.2475462,58,45.59492111206055
1507665280.9762232,59,45.75730895996094
1507665472.7744753,60,46.24741744995117
1507665664.738626,61,46.38913345336914
1507665861.9293327,62,47.322113037109375
1507666055.4435287,63,47.871273040771484
1507666252.9988332,64,47.505165100097656
1507666446.596984,65,48.151756286621094
1507666639.5365007,66,48.030704498291016
1507666838.1904778,67,48.90463638305664
1507667029.9824493,68,49.18511962890625
1507667223.6713693,69,49.303218841552734
1507667417.1046581,70,50.248008728027344
1507667611.182963,71,50.01476287841797
1507667805.7487862,72,50.026573181152344
1507667998.2275646,73,50.64068603515625
1507668192.6798995,74,50.932979583740234
1507668387.3538187,75,51.5205192565918
1507668579.8005085,76,51.68880844116211
1507668776.6180227,77,52.08148956298828
1507668967.7797527,78,51.63566589355469
1507669161.5261142,79,52.465309143066406
1507669354.659082,80,52.5302619934082
1507669548.363213,81,52.524356842041016
1507669741.957295,82,52.943607330322266
1507669933.6118479,83,53.3067626953125
1507670124.644188,84,53.714202880859375
1507670317.1836782,85,54.47593688964844
1507670509.4440622,86,54.33422088623047
1507670703.5965073,87,54.5556526184082
1507670904.6967397,88,54.505462646484375
1507671098.9865415,89,54.80661392211914
